Card,fighter_a,fighter_a_odds,fighter_b,fighter_b_odds
UFC 249: Ferguson vs. Gaethje May 9th 2020,Sam Alvey,+290,Ryan Spann,-455
UFC on ESPN 4: Dos Anjos vs. Edwards Jul 20th 2019,Sam Alvey,+145,Klidson Abreu,-175
UFC 234: Adesanya vs. Silva Feb 9th 2019,Sam Alvey,+115,Jim Crute,-172
UFC Fight Night 137: Santos vs. Anders Sep 22nd 2018,Sam Alvey,-350,Antonio Rogerio Nogueira,+285
UFC Fight Night 131: Rivera vs. Moraes Jun 1st 2018,Sam Alvey,-155,Gian Villante,+120
UFC on FOX 28: Stephens vs. Emmett Feb 24th 2018,Sam Alvey,+180,Marcin Prachnio,-220
UFC Fight Night 118: Cerrone vs. Till Oct 21st 2017,Sam Alvey,+130,Ramazan Emeev,-155
UFC Fight Night 114: Pettis vs. Moreno Aug 5th 2017,Sam Alvey,-137,Rashad Evans,+110
UFC Fight Night 108: Swanson vs. Lobov Apr 22nd 2017,Sam Alvey,+105,Thales Leites,-127
UFC on FOX 23: Shevchenko vs. Pena Jan 28th 2017,Sam Alvey,-145,Nate Marquardt,+120
UFC Fight Night 98: Dos Anjos vs. Ferguson Nov 5th 2016,Sam Alvey,-192,Alex Nicholson,+145
UFC on FOX 21: Maia vs. Condit Aug 27th 2016,Sam Alvey,-285,Kevin Casey,+230
UFC Fight Night 91: McDonald vs. Lineker Jul 13th 2016,Sam Alvey,-300,Eric Spicely,+235
UFC Fight Night 89: MacDonald vs. Thompson Jun 18th 2016,Sam Alvey,+195,Elias Theodorou,-245
UFC Fight Night 73: Saint Preux vs. Teixeira Aug 8th 2015,Sam Alvey,+315,Derek Brunson,-400
UFC Fight Night 65: Hunt vs. Miocic May 9th 2015,Sam Alvey,-375,Daniel Kelly,+300
UFC Fight Night 61: Bigfoot vs. Mir Feb 22nd 2015,Sam Alvey,+280,Cezar Ferreira,-360
UFC Fight Night 55: Rockhold vs. Bisping Nov 7th 2014,Sam Alvey,+140,Dylan Andrews,-170
UFC Fight Night 47: Bader vs. Saint Preux Aug 16th 2014,Sam Alvey,+105,Tom Watson,-125
MFC 40: Crowned Kings May 9th 2014,Sam Alvey,-365,Wes Swofford,+255
UFC on ABC 2: Vettori vs. Holland Apr 10th 2021,Sam Alvey,+125,Julian Marquez,-188
MFC 38: Behind Enemy Lines Oct 4th 2013,Sam Alvey,-195,Jason South,+155
MFC 37: True Grit May 10th 2013,Sam Alvey,-275,Jay Silva,+215
MFC 36: Reality Check Feb 15th 2013,Sam Alvey,+185,Elvis Mutapcic,-265
Bellator Fighting Championship 50 Sep 17th 2011,Sam Alvey,+220,Vitor Vianna,-240
Bellator Fighting Championship 45 May 21st 2011,Sam Alvey,+175,Karl Amoussou,-210
ShoFIGHT 20 Jun 16th 2012,Sam Alvey,n/a,Lucas Lopes,n/a
UFC Vegas 47 Feb 6th 2022,Sam Alvey,+285,Brendan Allen,-455
UFC Fight Night 202 Feb 5th 2022,Sam Alvey,+300,Phil Hawes.,-400
UFC Fight Night 202 Feb 5th 2022,Sam Alvey,+300,Ian Heinisch,-400
UFC on ESPN: Barboza vs. Chikadze Aug 28th 2021,Sam Alvey,-108,Wellington Turman,-133
UFC 254: Khabib vs. Gaethje Oct 24th 2020,Sam Alvey,+255,Da Un Jung,-357
UFC 249: Ferguson vs. Gaethje May 9th 2020,Sam Alvey,+290,Ryan Spann,-455
UFC on ESPN 4: Dos Anjos vs. Edwards Jul 20th 2019,Sam Alvey,+145,Klidson Abreu,-175
UFC 234: Adesanya vs. Silva Feb 9th 2019,Sam Alvey,+115,Jim Crute,-172
UFC Fight Night 137: Santos vs. Anders Sep 22nd 2018,Sam Alvey,-350,Antonio Rogerio Nogueira,+285
UFC Fight Night 131: Rivera vs. Moraes Jun 1st 2018,Sam Alvey,-155,Gian Villante,+120
UFC on FOX 28: Stephens vs. Emmett Feb 24th 2018,Sam Alvey,+180,Marcin Prachnio,-220
UFC Fight Night 118: Cerrone vs. Till Oct 21st 2017,Sam Alvey,+130,Ramazan Emeev,-155
UFC Fight Night 114: Pettis vs. Moreno Aug 5th 2017,Sam Alvey,-137,Rashad Evans,+110
UFC Fight Night 108: Swanson vs. Lobov Apr 22nd 2017,Sam Alvey,+105,Thales Leites,-127
UFC on FOX 23: Shevchenko vs. Pena Jan 28th 2017,Sam Alvey,-145,Nate Marquardt,+120
UFC Fight Night 98: Dos Anjos vs. Ferguson Nov 5th 2016,Sam Alvey,-192,Alex Nicholson,+145
UFC on FOX 21: Maia vs. Condit Aug 27th 2016,Sam Alvey,-285,Kevin Casey,+230
UFC Fight Night 91: McDonald vs. Lineker Jul 13th 2016,Sam Alvey,-300,Eric Spicely,+235
UFC Fight Night 89: MacDonald vs. Thompson Jun 18th 2016,Sam Alvey,+195,Elias Theodorou,-245
UFC Fight Night 73: Saint Preux vs. Teixeira Aug 8th 2015,Sam Alvey,+315,Derek Brunson,-400
UFC Fight Night 65: Hunt vs. Miocic May 9th 2015,Sam Alvey,-375,Daniel Kelly,+300
UFC Fight Night 61: Bigfoot vs. Mir Feb 22nd 2015,Sam Alvey,+280,Cezar Ferreira,-360
UFC Fight Night 55: Rockhold vs. Bisping Nov 7th 2014,Sam Alvey,+140,Dylan Andrews,-170
UFC Fight Night 47: Bader vs. Saint Preux Aug 16th 2014,Sam Alvey,+105,Tom Watson,-125
MFC 40: Crowned Kings May 9th 2014,Sam Alvey,-365,Wes Swofford,+255
UFC on ABC 2: Vettori vs. Holland Apr 10th 2021,Sam Alvey,+125,Julian Marquez,-188
MFC 38: Behind Enemy Lines Oct 4th 2013,Sam Alvey,-195,Jason South,+155
MFC 37: True Grit May 10th 2013,Sam Alvey,-275,Jay Silva,+215
MFC 36: Reality Check Feb 15th 2013,Sam Alvey,+185,Elvis Mutapcic,-265
Bellator Fighting Championship 50 Sep 17th 2011,Sam Alvey,+220,Vitor Vianna,-240
Bellator Fighting Championship 45 May 21st 2011,Sam Alvey,+175,Karl Amoussou,-210
ShoFIGHT 20 Jun 16th 2012,Sam Alvey,n/a,Lucas Lopes,n/a
UFC Vegas 47 Feb 6th 2022,Sam Alvey,+285,Brendan Allen,-455
UFC Fight Night 202 Feb 5th 2022,Sam Alvey,+300,Phil Hawes.,-400
UFC Fight Night 202 Feb 5th 2022,Sam Alvey,+300,Ian Heinisch,-400
UFC on ESPN: Barboza vs. Chikadze Aug 28th 2021,Sam Alvey,-108,Wellington Turman,-133
UFC 254: Khabib vs. Gaethje Oct 24th 2020,Sam Alvey,+255,Da Un Jung,-357
UFC 249: Ferguson vs. Gaethje May 9th 2020,Sam Alvey,+290,Ryan Spann,-455
UFC on ESPN 4: Dos Anjos vs. Edwards Jul 20th 2019,Sam Alvey,+145,Klidson Abreu,-175
UFC 234: Adesanya vs. Silva Feb 9th 2019,Sam Alvey,+115,Jim Crute,-172
UFC Fight Night 137: Santos vs. Anders Sep 22nd 2018,Sam Alvey,-350,Antonio Rogerio Nogueira,+285
UFC Fight Night 131: Rivera vs. Moraes Jun 1st 2018,Sam Alvey,-155,Gian Villante,+120
UFC on FOX 28: Stephens vs. Emmett Feb 24th 2018,Sam Alvey,+180,Marcin Prachnio,-220
UFC Fight Night 118: Cerrone vs. Till Oct 21st 2017,Sam Alvey,+130,Ramazan Emeev,-155
UFC Fight Night 114: Pettis vs. Moreno Aug 5th 2017,Sam Alvey,-137,Rashad Evans,+110
UFC Fight Night 108: Swanson vs. Lobov Apr 22nd 2017,Sam Alvey,+105,Thales Leites,-127
UFC on FOX 23: Shevchenko vs. Pena Jan 28th 2017,Sam Alvey,-145,Nate Marquardt,+120
UFC Fight Night 98: Dos Anjos vs. Ferguson Nov 5th 2016,Sam Alvey,-192,Alex Nicholson,+145
UFC on FOX 21: Maia vs. Condit Aug 27th 2016,Sam Alvey,-285,Kevin Casey,+230
UFC Fight Night 91: McDonald vs. Lineker Jul 13th 2016,Sam Alvey,-300,Eric Spicely,+235
UFC Fight Night 89: MacDonald vs. Thompson Jun 18th 2016,Sam Alvey,+195,Elias Theodorou,-245
UFC Fight Night 73: Saint Preux vs. Teixeira Aug 8th 2015,Sam Alvey,+315,Derek Brunson,-400
UFC Fight Night 65: Hunt vs. Miocic May 9th 2015,Sam Alvey,-375,Daniel Kelly,+300
UFC Fight Night 61: Bigfoot vs. Mir Feb 22nd 2015,Sam Alvey,+280,Cezar Ferreira,-360
UFC Fight Night 55: Rockhold vs. Bisping Nov 7th 2014,Sam Alvey,+140,Dylan Andrews,-170
UFC Fight Night 47: Bader vs. Saint Preux Aug 16th 2014,Sam Alvey,+105,Tom Watson,-125
MFC 40: Crowned Kings May 9th 2014,Sam Alvey,-365,Wes Swofford,+255
UFC on ABC 2: Vettori vs. Holland Apr 10th 2021,Sam Alvey,+125,Julian Marquez,-188
MFC 38: Behind Enemy Lines Oct 4th 2013,Sam Alvey,-195,Jason South,+155
MFC 37: True Grit May 10th 2013,Sam Alvey,-275,Jay Silva,+215
MFC 36: Reality Check Feb 15th 2013,Sam Alvey,+185,Elvis Mutapcic,-265
Bellator Fighting Championship 50 Sep 17th 2011,Sam Alvey,+220,Vitor Vianna,-240
Bellator Fighting Championship 45 May 21st 2011,Sam Alvey,+175,Karl Amoussou,-210
ShoFIGHT 20 Jun 16th 2012,Sam Alvey,n/a,Lucas Lopes,n/a
UFC Vegas 47 Feb 6th 2022,Sam Alvey,+285,Brendan Allen,-455
UFC Fight Night 202 Feb 5th 2022,Sam Alvey,+300,Phil Hawes.,-400
UFC Fight Night 202 Feb 5th 2022,Sam Alvey,+300,Ian Heinisch,-400
UFC on ESPN: Barboza vs. Chikadze Aug 28th 2021,Sam Alvey,-108,Wellington Turman,-133
UFC 254: Khabib vs. Gaethje Oct 24th 2020,Sam Alvey,+255,Da Un Jung,-357
UFC 249: Ferguson vs. Gaethje May 9th 2020,Sam Alvey,+290,Ryan Spann,-455
UFC on ESPN 4: Dos Anjos vs. Edwards Jul 20th 2019,Sam Alvey,+145,Klidson Abreu,-175
UFC 234: Adesanya vs. Silva Feb 9th 2019,Sam Alvey,+115,Jim Crute,-172
UFC Fight Night 137: Santos vs. Anders Sep 22nd 2018,Sam Alvey,-350,Antonio Rogerio Nogueira,+285
UFC Fight Night 131: Rivera vs. Moraes Jun 1st 2018,Sam Alvey,-155,Gian Villante,+120
UFC on FOX 28: Stephens vs. Emmett Feb 24th 2018,Sam Alvey,+180,Marcin Prachnio,-220
UFC Fight Night 118: Cerrone vs. Till Oct 21st 2017,Sam Alvey,+130,Ramazan Emeev,-155
UFC Fight Night 114: Pettis vs. Moreno Aug 5th 2017,Sam Alvey,-137,Rashad Evans,+110
UFC Fight Night 108: Swanson vs. Lobov Apr 22nd 2017,Sam Alvey,+105,Thales Leites,-127
UFC on FOX 23: Shevchenko vs. Pena Jan 28th 2017,Sam Alvey,-145,Nate Marquardt,+120
UFC Fight Night 98: Dos Anjos vs. Ferguson Nov 5th 2016,Sam Alvey,-192,Alex Nicholson,+145
UFC on FOX 21: Maia vs. Condit Aug 27th 2016,Sam Alvey,-285,Kevin Casey,+230
UFC Fight Night 91: McDonald vs. Lineker Jul 13th 2016,Sam Alvey,-300,Eric Spicely,+235
UFC Fight Night 89: MacDonald vs. Thompson Jun 18th 2016,Sam Alvey,+195,Elias Theodorou,-245
UFC Fight Night 73: Saint Preux vs. Teixeira Aug 8th 2015,Sam Alvey,+315,Derek Brunson,-400
UFC Fight Night 65: Hunt vs. Miocic May 9th 2015,Sam Alvey,-375,Daniel Kelly,+300
UFC Fight Night 61: Bigfoot vs. Mir Feb 22nd 2015,Sam Alvey,+280,Cezar Ferreira,-360
UFC Fight Night 55: Rockhold vs. Bisping Nov 7th 2014,Sam Alvey,+140,Dylan Andrews,-170
UFC Fight Night 47: Bader vs. Saint Preux Aug 16th 2014,Sam Alvey,+105,Tom Watson,-125
MFC 40: Crowned Kings May 9th 2014,Sam Alvey,-365,Wes Swofford,+255
UFC on ABC 2: Vettori vs. Holland Apr 10th 2021,Sam Alvey,+125,Julian Marquez,-188
MFC 38: Behind Enemy Lines Oct 4th 2013,Sam Alvey,-195,Jason South,+155
MFC 37: True Grit May 10th 2013,Sam Alvey,-275,Jay Silva,+215
MFC 36: Reality Check Feb 15th 2013,Sam Alvey,+185,Elvis Mutapcic,-265
Bellator Fighting Championship 50 Sep 17th 2011,Sam Alvey,+220,Vitor Vianna,-240
Bellator Fighting Championship 45 May 21st 2011,Sam Alvey,+175,Karl Amoussou,-210
ShoFIGHT 20 Jun 16th 2012,Sam Alvey,n/a,Lucas Lopes,n/a
UFC Vegas 47 Feb 6th 2022,Sam Alvey,+285,Brendan Allen,-455
UFC Fight Night 202 Feb 5th 2022,Sam Alvey,+300,Phil Hawes.,-400
UFC Fight Night 202 Feb 5th 2022,Sam Alvey,+300,Ian Heinisch,-400
UFC on ESPN: Barboza vs. Chikadze Aug 28th 2021,Sam Alvey,-108,Wellington Turman,-133
UFC 254: Khabib vs. Gaethje Oct 24th 2020,Sam Alvey,+255,Da Un Jung,-357
UFC 249: Ferguson vs. Gaethje May 9th 2020,Sam Alvey,+290,Ryan Spann,-455
UFC on ESPN 4: Dos Anjos vs. Edwards Jul 20th 2019,Sam Alvey,+145,Klidson Abreu,-175
UFC 234: Adesanya vs. Silva Feb 9th 2019,Sam Alvey,+115,Jim Crute,-172
UFC Fight Night 137: Santos vs. Anders Sep 22nd 2018,Sam Alvey,-350,Antonio Rogerio Nogueira,+285
UFC Fight Night 131: Rivera vs. Moraes Jun 1st 2018,Sam Alvey,-155,Gian Villante,+120
UFC on FOX 28: Stephens vs. Emmett Feb 24th 2018,Sam Alvey,+180,Marcin Prachnio,-220
UFC Fight Night 118: Cerrone vs. Till Oct 21st 2017,Sam Alvey,+130,Ramazan Emeev,-155
UFC Fight Night 114: Pettis vs. Moreno Aug 5th 2017,Sam Alvey,-137,Rashad Evans,+110
UFC Fight Night 108: Swanson vs. Lobov Apr 22nd 2017,Sam Alvey,+105,Thales Leites,-127
UFC on FOX 23: Shevchenko vs. Pena Jan 28th 2017,Sam Alvey,-145,Nate Marquardt,+120
UFC Fight Night 98: Dos Anjos vs. Ferguson Nov 5th 2016,Sam Alvey,-192,Alex Nicholson,+145
UFC on FOX 21: Maia vs. Condit Aug 27th 2016,Sam Alvey,-285,Kevin Casey,+230
UFC Fight Night 91: McDonald vs. Lineker Jul 13th 2016,Sam Alvey,-300,Eric Spicely,+235
UFC Fight Night 89: MacDonald vs. Thompson Jun 18th 2016,Sam Alvey,+195,Elias Theodorou,-245
UFC Fight Night 73: Saint Preux vs. Teixeira Aug 8th 2015,Sam Alvey,+315,Derek Brunson,-400
UFC Fight Night 65: Hunt vs. Miocic May 9th 2015,Sam Alvey,-375,Daniel Kelly,+300
UFC Fight Night 61: Bigfoot vs. Mir Feb 22nd 2015,Sam Alvey,+280,Cezar Ferreira,-360
UFC Fight Night 55: Rockhold vs. Bisping Nov 7th 2014,Sam Alvey,+140,Dylan Andrews,-170
UFC Fight Night 47: Bader vs. Saint Preux Aug 16th 2014,Sam Alvey,+105,Tom Watson,-125
MFC 40: Crowned Kings May 9th 2014,Sam Alvey,-365,Wes Swofford,+255
UFC on ABC 2: Vettori vs. Holland Apr 10th 2021,Sam Alvey,+125,Julian Marquez,-188
MFC 38: Behind Enemy Lines Oct 4th 2013,Sam Alvey,-195,Jason South,+155
MFC 37: True Grit May 10th 2013,Sam Alvey,-275,Jay Silva,+215
MFC 36: Reality Check Feb 15th 2013,Sam Alvey,+185,Elvis Mutapcic,-265
Bellator Fighting Championship 50 Sep 17th 2011,Sam Alvey,+220,Vitor Vianna,-240
Bellator Fighting Championship 45 May 21st 2011,Sam Alvey,+175,Karl Amoussou,-210
ShoFIGHT 20 Jun 16th 2012,Sam Alvey,n/a,Lucas Lopes,n/a
UFC Vegas 47 Feb 6th 2022,Sam Alvey,+285,Brendan Allen,-455
UFC Fight Night 202 Feb 5th 2022,Sam Alvey,+300,Phil Hawes.,-400
UFC Fight Night 202 Feb 5th 2022,Sam Alvey,+300,Ian Heinisch,-400
UFC on ESPN: Barboza vs. Chikadze Aug 28th 2021,Sam Alvey,-108,Wellington Turman,-133
UFC 254: Khabib vs. Gaethje Oct 24th 2020,Sam Alvey,+255,Da Un Jung,-357
UFC 249: Ferguson vs. Gaethje May 9th 2020,Sam Alvey,+290,Ryan Spann,-455
UFC on ESPN 4: Dos Anjos vs. Edwards Jul 20th 2019,Sam Alvey,+145,Klidson Abreu,-175
UFC 234: Adesanya vs. Silva Feb 9th 2019,Sam Alvey,+115,Jim Crute,-172
UFC Fight Night 137: Santos vs. Anders Sep 22nd 2018,Sam Alvey,-350,Antonio Rogerio Nogueira,+285
UFC Fight Night 131: Rivera vs. Moraes Jun 1st 2018,Sam Alvey,-155,Gian Villante,+120
UFC on FOX 28: Stephens vs. Emmett Feb 24th 2018,Sam Alvey,+180,Marcin Prachnio,-220
UFC Fight Night 118: Cerrone vs. Till Oct 21st 2017,Sam Alvey,+130,Ramazan Emeev,-155
UFC Fight Night 114: Pettis vs. Moreno Aug 5th 2017,Sam Alvey,-137,Rashad Evans,+110
UFC Fight Night 108: Swanson vs. Lobov Apr 22nd 2017,Sam Alvey,+105,Thales Leites,-127
UFC on FOX 23: Shevchenko vs. Pena Jan 28th 2017,Sam Alvey,-145,Nate Marquardt,+120
UFC Fight Night 98: Dos Anjos vs. Ferguson Nov 5th 2016,Sam Alvey,-192,Alex Nicholson,+145
UFC on FOX 21: Maia vs. Condit Aug 27th 2016,Sam Alvey,-285,Kevin Casey,+230
UFC Fight Night 91: McDonald vs. Lineker Jul 13th 2016,Sam Alvey,-300,Eric Spicely,+235
UFC Fight Night 89: MacDonald vs. Thompson Jun 18th 2016,Sam Alvey,+195,Elias Theodorou,-245
UFC Fight Night 73: Saint Preux vs. Teixeira Aug 8th 2015,Sam Alvey,+315,Derek Brunson,-400
UFC Fight Night 65: Hunt vs. Miocic May 9th 2015,Sam Alvey,-375,Daniel Kelly,+300
UFC Fight Night 61: Bigfoot vs. Mir Feb 22nd 2015,Sam Alvey,+280,Cezar Ferreira,-360
UFC Fight Night 55: Rockhold vs. Bisping Nov 7th 2014,Sam Alvey,+140,Dylan Andrews,-170
UFC Fight Night 47: Bader vs. Saint Preux Aug 16th 2014,Sam Alvey,+105,Tom Watson,-125
MFC 40: Crowned Kings May 9th 2014,Sam Alvey,-365,Wes Swofford,+255
UFC on ABC 2: Vettori vs. Holland Apr 10th 2021,Sam Alvey,+125,Julian Marquez,-188
MFC 38: Behind Enemy Lines Oct 4th 2013,Sam Alvey,-195,Jason South,+155
MFC 37: True Grit May 10th 2013,Sam Alvey,-275,Jay Silva,+215
MFC 36: Reality Check Feb 15th 2013,Sam Alvey,+185,Elvis Mutapcic,-265
Bellator Fighting Championship 50 Sep 17th 2011,Sam Alvey,+220,Vitor Vianna,-240
Bellator Fighting Championship 45 May 21st 2011,Sam Alvey,+175,Karl Amoussou,-210
ShoFIGHT 20 Jun 16th 2012,Sam Alvey,n/a,Lucas Lopes,n/a
UFC Vegas 47 Feb 6th 2022,Sam Alvey,+285,Brendan Allen,-455
UFC Fight Night 202 Feb 5th 2022,Sam Alvey,+300,Phil Hawes.,-400
UFC Fight Night 202 Feb 5th 2022,Sam Alvey,+300,Ian Heinisch,-400
UFC on ESPN: Barboza vs. Chikadze Aug 28th 2021,Sam Alvey,-108,Wellington Turman,-133
UFC 254: Khabib vs. Gaethje Oct 24th 2020,Sam Alvey,+255,Da Un Jung,-357
UFC 249: Ferguson vs. Gaethje May 9th 2020,Sam Alvey,+290,Ryan Spann,-455
UFC on ESPN 4: Dos Anjos vs. Edwards Jul 20th 2019,Sam Alvey,+145,Klidson Abreu,-175
UFC 234: Adesanya vs. Silva Feb 9th 2019,Sam Alvey,+115,Jim Crute,-172
UFC Fight Night 137: Santos vs. Anders Sep 22nd 2018,Sam Alvey,-350,Antonio Rogerio Nogueira,+285
UFC Fight Night 131: Rivera vs. Moraes Jun 1st 2018,Sam Alvey,-155,Gian Villante,+120
UFC on FOX 28: Stephens vs. Emmett Feb 24th 2018,Sam Alvey,+180,Marcin Prachnio,-220
UFC Fight Night 118: Cerrone vs. Till Oct 21st 2017,Sam Alvey,+130,Ramazan Emeev,-155
UFC Fight Night 114: Pettis vs. Moreno Aug 5th 2017,Sam Alvey,-137,Rashad Evans,+110
UFC Fight Night 108: Swanson vs. Lobov Apr 22nd 2017,Sam Alvey,+105,Thales Leites,-127
UFC on FOX 23: Shevchenko vs. Pena Jan 28th 2017,Sam Alvey,-145,Nate Marquardt,+120
UFC Fight Night 98: Dos Anjos vs. Ferguson Nov 5th 2016,Sam Alvey,-192,Alex Nicholson,+145
UFC on FOX 21: Maia vs. Condit Aug 27th 2016,Sam Alvey,-285,Kevin Casey,+230
UFC Fight Night 91: McDonald vs. Lineker Jul 13th 2016,Sam Alvey,-300,Eric Spicely,+235
UFC Fight Night 89: MacDonald vs. Thompson Jun 18th 2016,Sam Alvey,+195,Elias Theodorou,-245
UFC Fight Night 73: Saint Preux vs. Teixeira Aug 8th 2015,Sam Alvey,+315,Derek Brunson,-400
UFC Fight Night 65: Hunt vs. Miocic May 9th 2015,Sam Alvey,-375,Daniel Kelly,+300
UFC Fight Night 61: Bigfoot vs. Mir Feb 22nd 2015,Sam Alvey,+280,Cezar Ferreira,-360
UFC Fight Night 55: Rockhold vs. Bisping Nov 7th 2014,Sam Alvey,+140,Dylan Andrews,-170
UFC Fight Night 47: Bader vs. Saint Preux Aug 16th 2014,Sam Alvey,+105,Tom Watson,-125
MFC 40: Crowned Kings May 9th 2014,Sam Alvey,-365,Wes Swofford,+255
UFC on ABC 2: Vettori vs. Holland Apr 10th 2021,Sam Alvey,+125,Julian Marquez,-188
MFC 38: Behind Enemy Lines Oct 4th 2013,Sam Alvey,-195,Jason South,+155
MFC 37: True Grit May 10th 2013,Sam Alvey,-275,Jay Silva,+215
MFC 36: Reality Check Feb 15th 2013,Sam Alvey,+185,Elvis Mutapcic,-265
Bellator Fighting Championship 50 Sep 17th 2011,Sam Alvey,+220,Vitor Vianna,-240
Bellator Fighting Championship 45 May 21st 2011,Sam Alvey,+175,Karl Amoussou,-210
ShoFIGHT 20 Jun 16th 2012,Sam Alvey,n/a,Lucas Lopes,n/a
UFC Vegas 47 Feb 6th 2022,Sam Alvey,+285,Brendan Allen,-455
UFC Fight Night 202 Feb 5th 2022,Sam Alvey,+300,Phil Hawes.,-400
UFC Fight Night 202 Feb 5th 2022,Sam Alvey,+300,Ian Heinisch,-400
UFC on ESPN: Barboza vs. Chikadze Aug 28th 2021,Sam Alvey,-108,Wellington Turman,-133
UFC 254: Khabib vs. Gaethje Oct 24th 2020,Sam Alvey,+255,Da Un Jung,-357
UFC 249: Ferguson vs. Gaethje May 9th 2020,Sam Alvey,+290,Ryan Spann,-455
UFC on ESPN 4: Dos Anjos vs. Edwards Jul 20th 2019,Sam Alvey,+145,Klidson Abreu,-175
UFC 234: Adesanya vs. Silva Feb 9th 2019,Sam Alvey,+115,Jim Crute,-172
UFC Fight Night 137: Santos vs. Anders Sep 22nd 2018,Sam Alvey,-350,Antonio Rogerio Nogueira,+285
UFC Fight Night 131: Rivera vs. Moraes Jun 1st 2018,Sam Alvey,-155,Gian Villante,+120
UFC on FOX 28: Stephens vs. Emmett Feb 24th 2018,Sam Alvey,+180,Marcin Prachnio,-220
UFC Fight Night 118: Cerrone vs. Till Oct 21st 2017,Sam Alvey,+130,Ramazan Emeev,-155
UFC Fight Night 114: Pettis vs. Moreno Aug 5th 2017,Sam Alvey,-137,Rashad Evans,+110
UFC Fight Night 108: Swanson vs. Lobov Apr 22nd 2017,Sam Alvey,+105,Thales Leites,-127
UFC on FOX 23: Shevchenko vs. Pena Jan 28th 2017,Sam Alvey,-145,Nate Marquardt,+120
UFC Fight Night 98: Dos Anjos vs. Ferguson Nov 5th 2016,Sam Alvey,-192,Alex Nicholson,+145
UFC on FOX 21: Maia vs. Condit Aug 27th 2016,Sam Alvey,-285,Kevin Casey,+230
UFC Fight Night 91: McDonald vs. Lineker Jul 13th 2016,Sam Alvey,-300,Eric Spicely,+235
UFC Fight Night 89: MacDonald vs. Thompson Jun 18th 2016,Sam Alvey,+195,Elias Theodorou,-245
UFC Fight Night 73: Saint Preux vs. Teixeira Aug 8th 2015,Sam Alvey,+315,Derek Brunson,-400
UFC Fight Night 65: Hunt vs. Miocic May 9th 2015,Sam Alvey,-375,Daniel Kelly,+300
UFC Fight Night 61: Bigfoot vs. Mir Feb 22nd 2015,Sam Alvey,+280,Cezar Ferreira,-360
UFC Fight Night 55: Rockhold vs. Bisping Nov 7th 2014,Sam Alvey,+140,Dylan Andrews,-170
UFC Fight Night 47: Bader vs. Saint Preux Aug 16th 2014,Sam Alvey,+105,Tom Watson,-125
MFC 40: Crowned Kings May 9th 2014,Sam Alvey,-365,Wes Swofford,+255
UFC on ABC 2: Vettori vs. Holland Apr 10th 2021,Sam Alvey,+125,Julian Marquez,-188
MFC 38: Behind Enemy Lines Oct 4th 2013,Sam Alvey,-195,Jason South,+155
MFC 37: True Grit May 10th 2013,Sam Alvey,-275,Jay Silva,+215
MFC 36: Reality Check Feb 15th 2013,Sam Alvey,+185,Elvis Mutapcic,-265
Bellator Fighting Championship 50 Sep 17th 2011,Sam Alvey,+220,Vitor Vianna,-240
Bellator Fighting Championship 45 May 21st 2011,Sam Alvey,+175,Karl Amoussou,-210
ShoFIGHT 20 Jun 16th 2012,Sam Alvey,n/a,Lucas Lopes,n/a
UFC Vegas 47 Feb 6th 2022,Sam Alvey,+285,Brendan Allen,-455
UFC Fight Night 202 Feb 5th 2022,Sam Alvey,+300,Phil Hawes.,-400
UFC Fight Night 202 Feb 5th 2022,Sam Alvey,+300,Ian Heinisch,-400
UFC on ESPN: Barboza vs. Chikadze Aug 28th 2021,Sam Alvey,-108,Wellington Turman,-133
UFC 254: Khabib vs. Gaethje Oct 24th 2020,Sam Alvey,+255,Da Un Jung,-357
UFC 249: Ferguson vs. Gaethje May 9th 2020,Sam Alvey,+290,Ryan Spann,-455
UFC on ESPN 4: Dos Anjos vs. Edwards Jul 20th 2019,Sam Alvey,+145,Klidson Abreu,-175
UFC 234: Adesanya vs. Silva Feb 9th 2019,Sam Alvey,+115,Jim Crute,-172
UFC Fight Night 137: Santos vs. Anders Sep 22nd 2018,Sam Alvey,-350,Antonio Rogerio Nogueira,+285
UFC Fight Night 131: Rivera vs. Moraes Jun 1st 2018,Sam Alvey,-155,Gian Villante,+120
UFC on FOX 28: Stephens vs. Emmett Feb 24th 2018,Sam Alvey,+180,Marcin Prachnio,-220
UFC Fight Night 118: Cerrone vs. Till Oct 21st 2017,Sam Alvey,+130,Ramazan Emeev,-155
UFC Fight Night 114: Pettis vs. Moreno Aug 5th 2017,Sam Alvey,-137,Rashad Evans,+110
UFC Fight Night 108: Swanson vs. Lobov Apr 22nd 2017,Sam Alvey,+105,Thales Leites,-127
UFC on FOX 23: Shevchenko vs. Pena Jan 28th 2017,Sam Alvey,-145,Nate Marquardt,+120
UFC Fight Night 98: Dos Anjos vs. Ferguson Nov 5th 2016,Sam Alvey,-192,Alex Nicholson,+145
UFC on FOX 21: Maia vs. Condit Aug 27th 2016,Sam Alvey,-285,Kevin Casey,+230
UFC Fight Night 91: McDonald vs. Lineker Jul 13th 2016,Sam Alvey,-300,Eric Spicely,+235
UFC Fight Night 89: MacDonald vs. Thompson Jun 18th 2016,Sam Alvey,+195,Elias Theodorou,-245
UFC Fight Night 73: Saint Preux vs. Teixeira Aug 8th 2015,Sam Alvey,+315,Derek Brunson,-400
UFC Fight Night 65: Hunt vs. Miocic May 9th 2015,Sam Alvey,-375,Daniel Kelly,+300
